rounds,team,choose,move,scoreboard,combo,matrix
1,w,"(6, 2)","(5, 3)","[0, 0]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'w']
 ['w' 'none' 'none' 'none' 'b' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'b']]"
1,b,"(7, 7)","(6, 6)","[0, 0]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'w']
 ['w' 'none' 'none' 'none' 'b' 'none' 'b' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(5, 7)","(7, 5)","[1, 0]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'b' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'w' 'none' 'none']]"
1,b,"(6, 4)","(4, 2)","[1, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'b' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'w' 'none' 'none']]"
1,w,"(7, 5)","(6, 6)","[1, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'b' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'w' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,b,"(3, 7)","(4, 6)","[1, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'b' 'none' 'none' 'none' 'b' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'w' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(3, 1)","(5, 3)","[2, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'w' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,b,"(4, 6)","(5, 5)","[2, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'w' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(6, 6)","(4, 4)","[3, 1]",True,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'w' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,b,"(2, 6)","(3, 5)","[3, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'w' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(4, 4)","(2, 6)","[4, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'w' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,b,"(1, 7)","(3, 5)","[4, 2]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(5, 3)","(4, 4)","[4, 2]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'w' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,b,"(3, 5)","(5, 3)","[4, 3]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'b' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(4, 0)","(5, 1)","[4, 3]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'b' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,b,"(5, 3)","(4, 2)","[4, 3]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'b' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(5, 1)","(3, 3)","[5, 3]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,b,"(0, 6)","(1, 5)","[5, 3]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(3, 3)","(2, 4)","[5, 3]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'w' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,b,"(1, 5)","(3, 3)","[5, 4]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'b' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(6, 0)","(5, 1)","[5, 4]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'b' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,b,"(3, 3)","(4, 2)","[5, 4]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'b' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
1,w,"(5, 1)","(3, 3)","[6, 4]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']]"
2,w,"(1, 1)","(2, 2)","[0, 0]",False,"[['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'none', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'w', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b']]"
2,w,"(7, 1)","(6, 2)","[0, 0]",False,"[['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'w', 'none', 'none', 'none', 'b', 'none'], ['none', 'none', 'none', 'none', 'none', 'none', 'none', 'b']]"
2,b,"(6, 6)","(7, 5)","[0, 0]",False,"[['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'w', 'none', 'none', 'none', 'none', 'none'], ['none', 'none', 'none', 'none', 'none', 'b', 'none', 'b']]"
2,w,"(6, 2)","(5, 3)","[0, 0]",False,"[['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'w', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'none', 'none'], ['none', 'none', 'none', 'none', 'none', 'b', 'none', 'b']]"
2,b,"(7, 5)","(6, 4)","[0, 0]",False,"[['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'w', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'b', 'none', 'none', 'none'], ['none', 'none', 'none', 'none', 'none', 'none', 'none', 'b']]"
2,w,"(5, 3)","(7, 5)","[1, 0]",False,"[['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'none', 'none'], ['none', 'none', 'none', 'none', 'none', 'w', 'none', 'b']]"
2,b,"(4, 6)","(5, 5)","[1, 0]",False,"[['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'b', 'none'], ['none', 'w', 'none', 'none', 'none', 'none', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'none', 'none'], ['none', 'w', 'none', 'none', 'none', 'b', 'none', 'b'], ['w', 'none', 'none', 'none', 'none', 'none', 'none', 'none'], ['none', 'none', 'none', 'none', 'none', 'w', 'none', 'b']]"
2,w,"(7, 5)","(6, 6)","[1, 0]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'b' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'w' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'b']]"
2,b,"(5, 7)","(7, 5)","[1, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'b' 'none' 'b']]"
2,w,"(5, 1)","(6, 2)","[1, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'none' 'none' 'b']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'w' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'none' 'none' 'b' 'none' 'b']]"
2,b,"(6, 4)","(7, 3)","[1, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['w' 'none' 'w' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'b' 'none' 'b' 'none' 'b']]"
2,w,"(6, 2)","(5, 3)","[1, 1]",False,"[['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'w' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'w' 'none' 'none' 'none' 'b' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'b' 'none']
 ['none' 'none' 'none' 'w' 'none' 'none' 'none' 'none']
 ['w' 'none' 'none' 'none' 'none' 'none' 'none' 'none']
 ['none' 'none' 'none' 'b' 'none' 'b' 'none' 'b']]"
